Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in the city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. ,What is the area code of your phone number? ,What pet(s) did you have as a child?,"If you had to have one superpower, what would if be?",How many different pairs of shoes have you worn in the last week?
8/17/2020 12:11:41,The Killers,"6"" 1'","Bar Harbor, Maine",Teddy Roosevelt,Scandinavia ,5.0,casserole,Football,hors d'oeuvre,5,Less,1945,"“The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.”  - Ralph Waldo Emerson ",,,,
8/17/2020 12:11:50,hard question,6 feet,seattle?,elon musk,somewhere tropical,4.0,pizza,baseball,hors d'oeuvre,5-6,More,3000,“The secret of getting ahead is getting started.”,,,,
8/17/2020 12:11:58,Hiroyuki Namba,6'2,"Vienna, Austria",Luo Guanzhong,"The Free, Independent, and Strictly Neutral city of Krakow",3.0,pizza,Fencing,daiquiri,3,More,1902,"""All worlds begin in darkness, and so shall all end."" -Ansem, Seeker of Darkness",,,,
8/17/2020 12:12:04,Nico Collins,"6'0""",Tokyo,Mikhail Gorbachev,Iceland,3.0,pizza,Gymnastics,hors d'oeuvre,4,Less,1920,"7 times down, 8 times up",,,,
8/17/2020 12:13:03,Led Zepplin,"6'7""",Florence,Mike Tyson,Greece,5.0,pizza,Basketball,hors d'oeuvre,6,Less,500 BC,Get comfortable being uncomfortable,,,,
8/17/2020 12:13:03,Post Malone,6'7,Seattle,Jackie Robinson,Australia,4.0,casserole,College Football,hors d'oeuvre,7,Less,Sometime in the 1970s,Hard work beats talent when talent doesn't work hard,,,,
8/17/2020 12:13:23,,6 foot 2 inches,New York City,Nikola Tesla,Melbourne,4.0,pizza,Football,hors d'oeuvre,5,Less,1920s,"Don’t limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve",,,,
8/17/2020 12:13:43,Ed Sheeran,"5'7""","Stuttgart, Germany",Michelle Obama,Thailand,5.0,pizza,Basketball,hors d'oeuvre,2,More,1999,"“To laugh often and much; to win the respect of the intelligent people and the affection of children; to earn the appreciation of honest critics and endure the betrayal of false friends; to appreciate beauty; to find the beauty in others; to leave the world a bit better whether by a healthy child, a garden patch, or a redeemed social condition; to know that one life has breathed easier because you lived here. This is to have succeeded.” - Ralph Waldo Emerson",,,,
8/17/2020 12:17:00,Very variable but currently it is Jack Stauber,5'10'',Dublin,Constantine the Great,Singapore,4.0,no opinion,"if Video games count, Super Smash Bros. If not, football. Sometimes baseball when they're not playing the game and doing wacky stuff",daiquiri,6,Less,1184 BC,"""Whatever you are, be a good one""",,,,
8/17/2020 12:17:50,Kanye West Rap/Soul very unique,6',London,Shia LaBeouf ,Bora Bora,5.0,pizza,Basketball,hors d'oeuvre,4,More,1998,"""If people are doubting how far you can go, go so far that you can’t hear them anymore.”",,,,
8/17/2020 12:58:46,Lake Street Dive ,"5'10""","Cape Town, SA ",Dolly Parton ,New Zealand ,4.0,no opinion,Volleyball ,lieutenant,5,More,100 AD,"""People will forget what you said, people will forget what you did, but people will never forget how you made them feel."" ~ Maya Angelou ",,,,
8/17/2020 13:41:52,Pop ,6 foot ,Sydney AUS,God ,Australia/EU,4.0,pizza,Boxing ,hors d'oeuvre,20,More,2000 B.C,You miss 100% of the shots you don’t take- Michael scott,,,,
8/17/2020 13:43:07,Billie Eilish ,5'5,Dublin,Alexandria Ocasio Cortez,Bora Bora,4.0,pizza,Basketball,hors d'oeuvre,5,Less,3020,“The secret of getting ahead is getting started.” – Mark Twain,,,,
8/17/2020 13:44:59,Chief Keef,6'2,"Tel Aviv, Israel",Brian Urlacher,Israel,5.0,pizza,Football,hors d'oeuvre,3,Less,1000 BC,Burn the boats,,,,
8/17/2020 13:54:21,Billy Joel,6'0,London,Nikola Tesla,Japan,4.0,pizza,Fencing,daiquiri,2,Less,1893,"""Even the darkest night will end and the sun will rise"" - Les Miserables",,,,
8/17/2020 13:56:03,I do not have one,5' 4'',Ontario CA OR Kyoto Japan,,"Tokyo, Japan",5.0,pizza,Soccer,daiquiri,1,Less,2018,"""If you avoid conflict to keep the peace you start a war inside yourself"" -Unknown",,,,
8/17/2020 14:00:38,Kid Cudi,"6'2""",Vancouver,Elon Musk,Swiss Alps,5.0,pizza,Soccer,hors d'oeuvre,4-5,Less,2100,“Would I rather be feared or loved? Easy. Both. I want people to be afraid of how much they love me.”,,,,
8/17/2020 14:01:08,Zhou Shen,170cm,Guilin,living,Guilin,3.0,no opinion,tennis,hors d'oeuvre,People with similar interests,Less,2000,"The nightfalls used to come late in the past，

Everything was slow, the bike, the horse, and the post，

a lifetime was all but enough to be in love with one.",,,,
8/17/2020 14:16:06,,"5'6""",Chicago ,,Australia ,4.0,pizza,Hockey ,hors d'oeuvre,2,More,,,,,,
8/17/2020 14:17:41,Khalid ,"5'8""","Toronto, Canada ",,"Cancun, Mexico ",5.0,pizza,Softball,hors d'oeuvre,5,More,1992,,,,,
8/17/2020 14:22:02,Frank Ocean,5'10,Barcelona,Harry Styles,Bali,5.0,pizza,Hockey,lieutenant,4,More,1997,"""When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.” ― Helen Keller",,,,
8/17/2020 14:22:48,Post Malone,6ft 2in,Chicago,Michael Jordan,Puerto Rico,5.0,pizza,Football,hors d'oeuvre,6,Less,1920's,the only place success comes before work is in the dictionary.,,,,
8/17/2020 14:38:02,Billie Eilish,"5'6""",Boston or London,Queen Elizabeth II,Europe,5.0,pizza,Hockey,hors d'oeuvre,5 or 6 ,Less,maybe the future im not sure what year though,“Choose a job you love and you'll never have to work a day in your life” – Confucius (this isn't very inspirational but I like it),,,,
8/17/2020 15:00:49,Avenged Sevenfold,6'5,Kattegat,Chester Bennington,Egypt,5.0,casserole,Football,hors d'oeuvre,4,Less,1927,"""If you ain't first, you're last.""- Ricky Bobby",,,,
8/17/2020 15:12:33,The Weeknd,6'6,"Denver, CO",Harrison Bader,Hawaii,5.0,pizza,Baseball,hors d'oeuvre,5,More,1789,"""It's hard to beat a person who never gives up."" - Babe Ruth",,,,
8/17/2020 15:16:29,Taylor Swift ,5.6ft,Paris ,Warren Buffett,Iceland,3.0,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger,,,,
8/17/2020 15:42:15,Jack Johnson,"6'3""",London,Zach Braff,Hawaii,4.0,pizza,Football,lieutenant,3 and me for a game of euchre,Less,1999,Do or do not. There is no try. -Yoda,,,,
8/17/2020 15:44:08,Imagine Dragons,"6' 2""",Tokyo,Thomas Jefferson,Tokyo,5.0,no opinion,Football,hors d'oeuvre,3,Less,3000,"The currents before us are ever changing. We must adapt, press forward.",,,,
8/17/2020 16:41:41,"This has to be one of the hardest questions that I'm ever asked, but if I had to choose it would be a very tight race for first between Cage the Elephant, Ben Folds Five, Oliver Tree, Joji, and Arctic Monkeys just to name a couple.","At least 6 foot, that is all I request.","Most likely Los Angeles, solely because many of my friends live there and I much prefer hot weather of cold weather.","I'm not for sure, but off the top of my head probably a musical artist like Kurt Cobain or someone like that.","Somewhere nice and warm and with a different biome/animals from anything I've encounter before, like the Philippines",5.0,no opinion,Football or wrestling,hors d'oeuvre,11? I have zero preference on this one.,More,Sometime far in the future to see how we've advanced as a species and world.,"""Hard work beats talent when talent doesn't work hard."" or ""Anyone can do it, but few are willing to do the work.""",,,,
8/17/2020 19:35:03,Taylor Swift ,5.6ft,Paris ,Warren Buffett,Iceland,3.0,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger,,,,
8/17/2020 19:39:12,EDM,"5""10","Wollongong, Australia",my great grandpa,Bali,5.0,no opinion,basketball,hors d'oeuvre,3,More,1990,believe you can and you're halfway there,,,,
8/17/2020 21:56:47,Taylor Swift ,5.6ft,Paris ,Warren Buffett,Iceland,3.0,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger,,,,
8/18/2020 20:36:27,Juice WRLD,"6'4""",Tokyo ,Elton John,Machu Picchu,5.0,pizza,Lacrosse,lieutenant,100,More,1969,"""Don't take life to serious, no one makes it out alive""",,,,
8/20/2020 0:16:48,Travis Scott,5'9,Chicago,Neil Armstrong,Wherever the next fifa world cup would be,5.0,no opinion,Soccer,hors d'oeuvre,4,Less,2019,"""Its my decision to trust you and its your choice to break that trust"" ~ A TV Show",,,,
8/21/2020 16:30:37,Taylor Swift ,5.6ft,Paris ,Warren Buffett,Iceland,3.0,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger,,,,
1/7/2021 13:36:53,Lewis Capaldi,"5'7""",Atlanta Georgia ,"Egerton Dover, my brother's best friend who was shot and killed in his own home",Bora Bora,5.0,pizza,Football,hors d'oeuvre,3,More,summer of 2016,You are confined only by the walls you build yourself.,,,,
1/11/2021 19:28:28,,1.8m,Shanghai,,Japan,5.0,no opinion,esport,hors d'oeuvre,4-5,Less,,,,,,
1/11/2021 20:49:16,The Beatles,"5'7""",Tokyo,Steve Irwin,Japan,5.0,casserole,Tennis,hors d'oeuvre,4-5,Less,the year 5000,"""Absorb what is useful, discard what is useless and add what is specifically your own."" - Bruce Lee",,,,
1/12/2021 14:02:20,Post Malone,6'5,Dubai,Elon Musk,Bora Bora,4.0,pizza,Football/Basketball,hors d'oeuvre,3,Less,1932,"if opportunity doesn't knock, build a door",,,,
1/13/2021 10:19:01,Fleetwood Mac,6 foot 2 inches,San Diego,Ariana Grande,"Venice, Italy",5.0,pizza,Motocross,daiquiri,3 others (4 total),More,1925,"It ain't about how hard you hit. It's about how hard you can get hit and keep moving forward. - Rocky Balboa

",,,,
1/13/2021 13:28:02,Queen,"6'6""",Florence,Nick Saban,Fiji,5.0,pizza,Football,hors d'oeuvre,7,Less,1985,You miss 100% of the shots you don't take,,,,
1/13/2021 13:31:38,Kid Cudi,6'8,San Diego,Julius Caesar ,Argentina,5.0,pizza,Football,hors d'oeuvre,4,Less,1920,"""Ego is the anesthesia that deadens the pain of stupidity. """,,,,
1/13/2021 13:47:04,Ed Sheeran,6 ft ,Chicago,"My Grandpa, I never met him ",Australia ,5.0,pizza,Basketball ,hors d'oeuvre,4,Less,2150,Work hard in silence; let success make the noise ,,,,
1/13/2021 13:53:17,Mumford and Sons,5'10,"Dublin, Ireland",Payton Manning,"Dingle, Ireland",5.0,pizza,Football,hors d'oeuvre,15,More,1927,"It doesn't get any easier, you just get stronger",,,,
1/13/2021 13:56:35,Juice Wrld,"6'3""",Miami,Wim Hof,Norway,5.0,pizza,Baseball,hors d'oeuvre,2,More,2016,You miss 100 percent of the shots you never take. -Wayne Gretzky ,,,,
1/13/2021 14:00:50,Luke Combs,6'4,Austin,Kobe Bryant,Germany,5.0,pizza,Basketball,hors d'oeuvre,4,More,1985,I've failed over and over again and that is why I succeed. ,,,,
1/13/2021 14:05:09,Zac Brown Band,"6'5""","Austin, TX",Neil DeGrasse Tyson,New Zealand,5.0,pizza,Baseball,daiquiri,4,More,537 AD (Proclaimed worst year in world history),A life is not important except in the impact it has on other lives -- Jackie Robinson,,,,
1/13/2021 14:45:49,Travis Scott,6 ft 4,Tokyo,Kanye West,Iceland,5.0,pizza,Esports,hors d'oeuvre,3,More,2007,,,,,
1/13/2021 15:06:47,YAOSOBI,"6'0""",Hong Kong,The buddha ,Busan,5.0,pizza,Martial Arts,hors d'oeuvre,4,Less,2010,"""When do you think people die? When they are shot through the heart by the bullet from a pistol? No. When they are ravaged by an incurable disease? No. When they drink a soup made from a poisonous mushroom? No! It's when they are forgotten."" -Dr.Hiriluk (One Piece)",,,,
1/13/2021 15:12:19,Maroon 5,1.65 meter high,Shanghai,My grandfather,Hawaii,4.0,pizza,Swimming,lieutenant,3,Less,2000,Practice makes perfect,,,,
1/13/2021 15:21:24,Twenty one pilots,5'5'',Nice,Stan Lee,Japan,5.0,pizza,Hockey,daiquiri,3,Less,3000,"""Everyone wants to be happy, nobody wants to be in pain. But you can't have a rainbow, without any rain.""",,,,
1/13/2021 15:37:05,Frank Ocean,"6'3""",Amsterdam,Uncle Monday,Cairo,5.0,no opinion,Softball,hors d'oeuvre,2,Less,1975,"I am the Lizard King, I can do anything",,,,
1/13/2021 16:03:10,Aerosmith,5ft 7in,San Jose del Cabo,My Grandfather,Greece,3.0,pizza,Baseball,lieutenant,3,More,4AD,"You can't change yesterday, but you can change tomorrow.",,,,
1/13/2021 16:05:12,Panic! At The Disco,"5'6""","Vancouver, BC",My Grandma,Paris,4.0,casserole,Musicals,hors d'oeuvre,1,Less,1990,"""In what grade do we stop believing in ourselves? In what grade do we just stop believing, period? Someone has to be a Nobel Peace Prize winner. Someone has to be a ballerina. Why not us?"" - Chris Colfer",,,,
1/13/2021 16:23:51,Kanye West,"6'0""","Montreux, Switzerland ",Nikola Tesla,Iceland,5.0,casserole,College Basketball,lieutenant,4,Less,2200,"""To be a champion, compete; to be a great champion, compete with the best; but to be the greatest champion, compete with yourself.”",,,,
1/13/2021 16:49:28,Will Wood,"5'8""","Florence, Italy",William Shakespeare,Sweden,4.0,no opinion,ice skating,daiquiri,3,Less,,,,,,
1/13/2021 17:33:05,J Balvin,6'0,Munich,Bill Gates,Santorini,5.0,pizza,Basketball,hors d'oeuvre,6-8,Less,1969,"""Shit happens"" Forrest Gump",,,,
1/13/2021 17:42:48,Martin Garrix ,6'4,Chicago ,Albert Einstein ,Italy ,5.0,pizza,Hockey,hors d'oeuvre,8,Less,1980,You miss 100% of the shots you don't take,,,,
1/13/2021 17:50:15,Kid Cudi,"6'2""",Florence,George Patton,Australia ,3.0,pizza,Football,hors d'oeuvre,infinity,Less,3000,Just do it. ,,,,
1/13/2021 18:21:00,Eric Church,"6'1""","Denver, Colorado",Nikola Tesla,Italy,4.0,pizza,Lacrosse,daiquiri,4,Less,The first year,"""Anything in life worth doing is worth overdoing. Moderation is for cowards."" - Shane Patton",,,,
1/13/2021 19:04:16,Luke Combs,5'6,Gulf Shores,Zac Efron,The Bahamas,3.0,pizza,Football,hors d'oeuvre,4,Less,2001,"""Trust the timing of your life.""",,,,
1/13/2021 19:42:58,Metallica,"6' 2""",Chicago,Stephen Hawking,South Korea,5.0,pizza,Hockey,hors d'oeuvre,2,Less,1776,"""No act of kindness, no matter how small, is ever wasted."" - Aesop",,,,
1/13/2021 19:46:44,The Who,"6'9""",New Orleans,Charles Barkley,"Patagonia, Chile",3.0,casserole,Basketball,lieutenant,5,Less,1990,Love fate or let it bulldoze you,,,,
1/13/2021 20:06:11,Juice Wrld,6'3,LA,Drew Brees,Hawaii,4.0,no opinion,Football,hors d'oeuvre,3,Less,2040,"""The difference between a successful person and others is not a lack of strength, not a lack of knowledge, but rather a lack in will"" -Vince Lombardi Jr.",,,,
1/13/2021 20:11:47,Kanye West,6'1,"Cape Girardeau, MO",Julian Assange,Turks and Caicos,5.0,pizza,,hors d'oeuvre,2,Less,Anywhere from 4 BC - 33 AD,"""Sorry losers and haters, but my I.Q. is one of the highest -and you all know it! Please don't feel so stupid or insecure, it's not your fault""",,,,
1/13/2021 20:53:27,Travis Scott,6'8 ,"Dallas, Texas",My friend Drew,Hawaii,5.0,pizza,Basketball,hors d'oeuvre,6,Less,2016,Work hard in silence let your success be noise,,,,
1/13/2021 21:14:48,Post Malone,6'4,Chicago,My grandpa ,Italy ,5.0,pizza,Football,daiquiri,7,More,1940s,Don't let yesterday take too much of today.,,,,
1/13/2021 21:38:48,Imagine Dragons,5'10'',London,Jesus Christ,Mexico,5.0,pizza,Soccer,hors d'oeuvre,3,Less,2016,"""The best time to plant a tree was 20 years ago, the second best time is today.""",,,,
1/13/2021 22:34:03,,"6' 3""",Denver,,Hawaii,4.0,no opinion,Football,hors d'oeuvre,5,Less,1985,"""Life moves pretty fast, if you don't stop and look around once in awhile, you could miss it."" - Ferris Bueller",,,,
1/13/2021 23:39:40,,"6'0""",Bloomington,Brad Sheese,Bloomington,5.0,pizza,,hors d'oeuvre,4,,2020,,,,,
1/14/2021 10:00:10,"Difficult, changes a lot. (rap, r&b, rock, blues, jazz, etc.)","6' 2""",Miami,My late grandfather,"Banff, Canada",5.0,no opinion,football (mainstream) or something out there like rock climbing,hors d'oeuvre,five,Less,1964,“Don’t expect to be motivated every day to get out there and make things happen. You won’t be. Don’t count on motivation. Count on Discipline.”,,,,
1/14/2021 10:01:33,Luke Combs ,6'4,London ,Warren Buffett ,Positano Italy ,5.0,pizza,Football ,hors d'oeuvre,7,More,1949,Attach each day with an enthusiasm unknown to mankind,,,,
1/14/2021 10:32:19,J Cole,6'4,London,Kobe Bryant,"Cape Town, South Africa",4.0,pizza,Basketball,hors d'oeuvre,5,More,2000,Life is 10% what happens to you and 90% how you choose to respond,,,,
1/14/2021 11:02:14,Meek Mill,5'6,Chicago,My grandmother,Mexico,5.0,pizza,Basketball,hors d'oeuvre,5,More,3000,"""You learn more from failure than from success""",,,,
1/14/2021 12:38:44,Fleetwood Mac,6 foot ,"Sydney, AUS",Judge Judy ,Phillipines ,4.0,pizza,Hip Hop Dance ,daiquiri,5,More,2016,,,,,
1/14/2021 13:19:02,Machine Gun Kelly,"6'3""","Oregon, Utah",My Grandpa,Italy,5.0,pizza,UFC ,hors d'oeuvre,3,More,65 Mil B.C.,"If you aint first, you're last- Ricky Bobby ",,,,
1/14/2021 15:37:44,Chief Keef,6'1,Chicago,Pablo Escobar,Hawaii,4.0,pizza,Football,hors d'oeuvre,10,More,1980,"""Be yourself, everyone else is already taken.""",,,,
1/14/2021 16:02:39,Sabaton,"6' 1""",New York,John Mulaney or Robin Williams,"Heimaey, Iceland",4.0,no opinion,Baseball,hors d'oeuvre,Five,Less,1987,No bird soars too high if he soars with his own wings. ,,,,
1/14/2021 17:26:48,"Tyler, the creator",6’5,Nashville,Elon Musk,Monaco,3.0,no opinion,"Basketball, football, baseball",hors d'oeuvre,Unsure,More,2025,"“Every problem is a gift—without problems we would not grow.” – Anthony Robbins
",,,,
1/14/2021 17:26:54,"Tyler, the creator",6’5,Nashville,Elon Musk,Monaco,3.0,no opinion,"Basketball, football, baseball",hors d'oeuvre,Unsure,More,2025,"“Every problem is a gift—without problems we would not grow.” – Anthony Robbins
",,,,
1/14/2021 18:14:33,Lil Baby,6'0,Las Vegas ,My Dad Deceased ,Turks &  Caicos,3.0,pizza,Baseball,hors d'oeuvre,3,Less,2018,If you don't have time to do it right you must have time to do it over,,,,
1/14/2021 23:29:26,Khalid,6'2,"Seattle,Washington",Elon Musk,Bora Bora,4.0,casserole,Basketball,hors d'oeuvre,4,Less,"2015, but only if I am 18+ still",Don't live your life in the future or past. Live it now.,,,,
1/15/2021 8:23:22,Lil uzi vert,6'3,"Encinitas, California",mark cuban,hawaii,2.0,no opinion,football,hors d'oeuvre,4,Less,1980,Today is a great day to have a great day,,,,
1/15/2021 14:01:57,travis scott,6'5,New york,robin williams,Ibiza,3.0,no opinion,baseball,hors d'oeuvre,6,More,1776,"""Just do it.""",,,,
1/15/2021 16:37:54,Kanye West,6'4,,Michael Jordan,Spain,5.0,pizza,football,hors d'oeuvre,6,More,1999,,,,,
8/22/2021 10:44:48,Fall Out Boy I guess!,"I like my height, so 5'2""",Tokyo,,Ireland,5.0,casserole,figure skating or equestrian,hors d'oeuvre,3,Less,"assuming this time machine can support my existence, then however many years it is after the sun explodes","“I wish it need not have happened in my time,” said Frodo.
“So do I,” said Gandalf, “and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.” -JRR Tolkien, The Fellowship of the Ring",240,"My family has had 3 dogs! We still have one of them, her name is Cassie and she's an angel.",/godmode :) or Spiderman's powers,2
8/22/2021 12:13:56,Travis Scott or Jason Aldean,6'8,Destin Florida,Michael Jordan,Fiji,5.0,pizza,Basketball,hors d'oeuvre,4 including your self,More,2016,Work hard in silence. Let success make your noise,217,Dog,Time Travel,5
8/22/2021 12:18:18,Morgan Wallen,6'6,"Nashville, Tennessee",Steve Jobs,"Barcelona, Spain",5.0,pizza,Football,hors d'oeuvre,3,More,1490,"Don't sit down and wait for opportunities to come to you, go and make them. ",217,Dog,Mind Reading,10
8/22/2021 12:25:02,j cole,6'6,Austin,kobe bryant ,italy,5.0,pizza,basketball,hors d'oeuvre,6,Less,1960,"""If you don't fail you are not even trying"" Denzel washington",847,dog ,invisibility ,three
8/22/2021 14:18:52,Frank Ocean,Current height is fine,Boston,Myself 40 years in the future,Japan,4.0,pizza,Competitive Slapping,hors d'oeuvre,1,Less,3021,We are who we think others think we are,480,Dog,High Intrinsic Motivation ,4
8/22/2021 16:59:23,lil Wayne,6'2,"Austin, TX",Gronk,Bahamas,5.0,pizza,baseball,hors d'oeuvre,3,More,1920s,,217,dog,teleportation,3
8/23/2021 9:50:46,,,Nashville,Jesus,Alaska,5.0,no opinion,Football,hors d'oeuvre,1,Less,1993,,309,dog,flying,3
8/23/2021 9:59:46,asap rocky,6'3,,,,4.0,pizza,baseball,daiquiri,,More,1976,"""A river cuts through a rock not because of its power, but because of its persistence.""",312,A fish,Teleportation,3
8/23/2021 21:31:19,Taylor Swift,"6'0""",Los Angeles,John Cena,South Korea,5.0,pizza,Basketball,hors d'oeuvre,4,Less,2500,“It is never too late to be what you might have been.”,309,Dog,Flying,1
8/23/2021 23:33:02,Country ,225,i'd rather live in the country ,George Washington ,Bastogne ,5.0,pizza,Football ,hors d'oeuvre,3,More,1941,"Ask not what your country can do for you, ask what you can do for your country  ",918,cat ,telekinesis ,2
8/24/2021 10:56:46,post malone,6'5,scottsdale,MJ,cayman islands,5.0,pizza,football,hors d'oeuvre,3,Less,2019,You can't steal second with your foot on first ,309,Dog,flying,4
8/24/2021 11:40:39,Quinn XCII,"5' 11""",Nashville Tennessee,Cristiano Ronaldo,Europe (Italy/England/Greece),4.0,pizza,Soccer,hors d'oeuvre,4-6,More,2070,"""Pain is temporary, it may last for a minute, or an hour, or a day, or a year, but eventually it will subside and something else will take its place. If I quit, however, it lasts forever."" 
-- Lance Armstrong",309,Dogs,Super speed,4
8/24/2021 13:44:51,Morgan Wallen,6'6,"Nashville, Tennessee",Benjamin Franklin,"Florence, Italy",5.0,pizza,Football,hors d'oeuvre,3,More,1920,"Don't sit back and wait for opportunities to come to you, get up and go make them. ",217,dog,Mind reading,10
8/24/2021 16:45:05,Eagles,225,Chicago ,My father ,Italy,4.0,pizza,Football,hors d'oeuvre,5-6,More,2016,Control what you can control ,847,Dogs and Cats ,To control time ,3
8/24/2021 16:54:43,Mac Miller,"5' 11""",Florence,Nikola Tesla,Switzerland,4.0,no opinion,Soccer,hors d'oeuvre,5,Less,2550 BC,"""Do or do not, there is no try"" - Yoda",386,Tortoise ,Time Travel,3
8/24/2021 18:39:29,kenny ,5'8,somewhere in Virginia ,,italy ,5.0,pizza,swimming,daiquiri,3,More,1995,focus on you,309,dogs bunnies and cats ,transports ,3
8/24/2021 19:53:39,Riley Green,6'9,Nashville,Elon Musk,Australia,4.0,pizza,Football,hors d'oeuvre,no more than 10,More,2023,"If your dreams dont scare you, they aren't big enough.",224,3 dogs,I would want to read minds,3
8/24/2021 21:45:35,Mac Miller,6'6,Denver,My Grandpa,Bora Bora,5.0,no opinion,Basketball,hors d'oeuvre,4,More,1988,"""You miss 100% of the shots you don't take"" - Michael Scott",217,Two Fish,Read Minds,2
8/24/2021 22:12:36,Kanye West ,"6'1""",Miami,Kobe Bryant ,Hawaii ,5.0,pizza,Tennis,hors d'oeuvre,4,Less,2009,"“The moment you give up, is the moment you let someone else win.”",309,,Invisibility ,4
8/25/2021 4:54:57,willow smith,i would not change my height ,"Johannesburg, South Africa",Jessye Norman,,5.0,no opinion,Basketball ,hors d'oeuvre,1-3,More,2050,,224,"Dogs, Cats, Fish, Lizards",invisibility,2
8/25/2021 10:08:09,Juice Wrld,At least 5’10,Miami,My mom,Florida,4.0,pizza,Football,hors d'oeuvre,4,Less,2016,Hard work beats talent when talent doesn’t work hard,847,2 dogs,To be able to become invisible ,4
8/25/2021 10:42:11,juice world,5'5,tampa,my dad,greece,5.0,pizza,lacrosse,hors d'oeuvre,5,More,2018,"When you have a dream, you've got to grab it and never let go. - Carol Burnett",708,a cat,read peoples minds,7
8/25/2021 10:56:57,eminem or avenged sevenfold,i like my height ,dallas,joe rogan,hawaii,5.0,pizza,wrestling,hors d'oeuvre,3,Less,4021,The world aint all sunshine and rainbows ,619,none,,4
8/25/2021 11:46:12,county artist ,5'8,anywhere in Virginia ,this isn't a person but my bunny ,italy ,5.0,pizza,swim,hors d'oeuvre,3,More,1995,focus on yourself ,309,dogs and cats and bunnies ,telaport,3
8/25/2021 12:55:46,Frank Ocean and Tyler the Creator ,5'9,Paris ,My grandma,Paris ,5.0,,Volleyball,hors d'oeuvre,2,More,2016,"our time is limited, so don't waste it living someone else's life.",708,Dogs ,Telekinesis ,4
8/28/2021 12:46:20,one direction,5'4,los angeles,Dylan o'brien ,Iceland,5.0,pizza,basketball,hors d'oeuvre,4,More,1920,“Sometimes you will never know the value of a moment until it becomes a memory.” Dr. Seuss,847,fish and dogs,reading minds,4
1/6/2022 16:46:36,,"5'7""",Chicago,My grandma,Paris,5.0,pizza,Volleyball,daiquiri,3,Less,1976,Sometimes you never know the value of a moment until it becomes a memory. - Dr. Seuss,708,"I had (not all at once): 3 dogs, 2 hermit crabs, and a bird.",Telepathy,2
1/7/2022 10:36:22,The Stokes (Alternative Genre),"Right where I'm at now, 6ft. ",Joshua Tree California ,Johnny Cash,"Somewhere in china, to practice meditation ",4.0,pizza,Golf,hors d'oeuvre,3-5,More,BC 0,"""Don't stoop so low, to reach so high"" - Bono",309,"Fish, hamsters, and dogs",Become a Healer,two
1/7/2022 10:38:16,Travis Scott,6 ft 2,Tokyo,Kanye West,Argentina,4.0,no opinion,Basketball,hors d'oeuvre,3,Less,2100,,847,"Hamster, Fish, Ferrets",Power to teleport,3
1/7/2022 10:39:26,Kid Cudi,"6'0""",New York City,Kobe Bryant,Monaco ,5.0,pizza,Tennis,hors d'oeuvre,3,Less,2009,"“Once you know what failure feels like, determination chases success.”",309,,Invisibility ,5
1/7/2022 10:44:12,Juice WRLD,6'3'',Dubai,Steve Jobs,Galapagos,5.0,pizza,Basketball,hors d'oeuvre,1,More,The 70s,"""Life is too short to be living somebody else’s dream."" - Hugh Hefner",630,Guinea Pig & Frogs,Teleportation,4
1/7/2022 10:46:01,Lorde,"6'2""",London,Barack Obama,Paris,3.0,pizza,Swimming,lieutenant,4,More,"Not sure, probably thousands of years ago to see the dinosaurs",Good things take time,630,"Dogs and Cats, usually multiple of each",Invisibility,7
1/7/2022 10:48:27,Soul Music,6'2,Venice,Charles Darwin,Florence ,5.0,pizza,Gymnastics,daiquiri,4,More,"January 1st, 1998","Get busy live, or get Busy dying 
 -Shawshank Redemption ",847,"Dogs, Cats, Hamsters, Fish, Ferrets ",telekinesis ,3
1/7/2022 10:51:08,I am a big fan of Grandson ,5 ft 7in ,I really liked Copenhagen when I was there,I would like to talk to my great grandma when she was in her 50s ,I really want to go to Argentina ,5.0,no opinion,I like to watch figure skating and volleyball,lieutenant,Any number who will hang out with me ,More,I want to see the glaciers before climate change,"""Life is just a sexually transmitted disease which is ultimately fatal so you might as well enjoy it""",217,"I had a dog, a cat, and because my mother was a science teacher I had so many pill bugs in a fish tank in the basement",I would want to have the ability to grant my own wishes and un-grant my own wishes,5?
